"Emails","Como você avalia a sua experiência na tela de Personalização de Ofertas?","","","","","Qual o motivo da sua nota?","Timestamp","URL","Country","Device","OS","Browser","Visitor Attributes"
"","Muito Insatisfeito","Insatisfeito","Neutro","Satisfeito","Muito Satisfeito","",""
"n/a","","","","Y","","","24/09/24 11:38","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/kSmBzx58iggoJvGvpeiNYw/2/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:38","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/MDWm1Uy3kww4s7XQOxjFnQ/1/1/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:37","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/rwd7fRnkqV_TYwTo9b7ffQ/0","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:36","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/db0jD7xbZocMTZjd9KEVZA/1/1/1","","","","",""""""
"n/a","","Y","","","","achei bagunçado","24/09/24 11:34","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/UHhenubiydO4EAx6yOCAMw/3/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:34","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/8oS9H7IzS31gwLurdrcmLg/4/1/1","","","","",""""""
"n/a","","","Y","","","","24/09/24 11:34","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/K6FCd2YtG8lYajJJlwbc9g/1/0/1","","","","",""""""
"n/a","","","","","Y","Praticidade!","24/09/24 11:33","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/DrCzdNOSp8ur1+Voifm3Jw/0","","","","",""""""
"n/a","","","Y","","","cada vez as atualizações nao sao igual ao sistema antigo q era muito melhor ","24/09/24 11:33","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/BfLCCm8nEAYD4b85JQAWxg/1/1/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:33","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/T_T4tfZs4dx8dsA28n_uvA/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","","Y","","RAPIDA VISUALIZACAO","24/09/24 11:32","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/J3kk7tnpPz+tSCrJLnlqfw/1/1/1","Brazil","Other","Windows","Chrome",""""""
"n/a","","","Y","","","","24/09/24 11:32","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/T4FMXGcj11hiWQNBCJq27g/2/1/1","","","","",""""""
"n/a","Y","","","","","","24/09/24 11:32","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/RB+mFvjPDcok+Xyxub2j2w/3/0/1","","","","",""""""
"n/a","Y","","","","","","24/09/24 11:32","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/VmV70enYQoyDDgx8PClgcQ/5/8/1","","","","",""""""
"n/a","Y","","","","",".
","24/09/24 11:31","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/NaJoxpXCKSxCw49QdlyU6g/1/1/1","Brazil","Other","Windows","Edge",""""""
"n/a","","","Y","","","","24/09/24 11:31","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/T8rqe3oECCtvjLnMaOENNA/4/0/1","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:31","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/zbQpZ1wlQNon42MZWWBV4w/4/0/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:30","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/eK6lk+EwB_yDzTfNn+_ftA/1/2/1","","","","",""""""
"n/a","","","","Y","","ok
","24/09/24 11:30","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/ioH1yUyl8SvboxOOq_GJ8Q/4/1/1","","","","",""""""
"n/a","","","","","Y","","24/09/24 11:29","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/ofertas/WcUS6E53vOJRyH78OO0Y3A/0","","","","",""""""
"n/a","","","","Y","","","24/09/24 11:29","https://wwws.portoseguro.com.br/porto.auto.cotacao/#/oferta/w1tzu2ZracDCWRbywwqItw/8/0/1","Brazil","Other","Windows","Chrome",""""""
